Uptown Funk	Mark Ronson ft. Bruno Mars	Funk Pop	2014	2010s	Remove

Wagon Wheel	Old Crow Medicine Show	Country	2004	2000s	Remove

Wannabe	Spice Girls	Pop	1996	1990s	Remove

Wanted Dead or Alive	Bon Jovi	Rock	1986	1980s	Remove

We Are Family	Sister Sledge	Disco	1979	1970s	Remove

What's Up	4 Non Blondes	Rock	1992	1990s	Remove

Wonderwall	Oasis	Rock	1995	1990s	Remove

Yeah	Usher	R&B	2004	2000s	Remove

You Can't Always Get What You Want	The Rolling Stones	Rock	1969	1960s	Remove

You Make My Dreams Come True	Hall & Oates	Pop Rock	1980	1980s	Remove

You Shook Me All Night Long	AC/DC	Rock	1980	1980s	Remove


